i;t;s;bs;T;
652;16.717;2990.78;2965.29;38.742;
653;16.734;2992.67;2965.29;38.742;
654;16.749;2988.44;2965.29;38.742;
655;16.765;2988.44;2965.29;38.742;
656;16.78;2988.39;2965.29;38.742;
657;16.796;2983.55;2965.29;38.742;
658;16.811;2981.48;2965.29;38.742;
659;16.826;2981.48;2965.29;38.742;
660;16.842;2981.5;2965.29;38.742;
661;16.857;2985.73;2965.29;38.742;
662;16.873;2989.05;2965.29;38.742;
663;16.888;2989.29;2965.29;38.742;
664;16.904;2989.29;2965.29;38.742;
665;16.919;2997.37;2965.29;38.742;
666;16.934;2997.37;2965.29;34.8678;
667;16.948;2997.35;2965.29;34.8678;
668;16.965;2994.03;2965.29;34.8678;
669;16.98;2995.81;2965.29;34.8678;
670;16.996;2977.63;2965.29;34.8678;
671;17.012;2977.3;2965.29;34.8678;
672;17.028;2977.3;2965.29;34.8678;
673;17.043;2979.97;2965.29;34.8678;
674;17.059;2979.19;2965.29;34.8678;
